"tailnum","year","type","manufacturer","model","engines","seats","speed","engine"
"N112AA",1964,"Fixed wing multi engine","AERO COMMANDER","500-B",2,7,172,"Reciprocating"
"N112US",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N113SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N114SY",2014,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N114UW",1999,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N116SY",2014,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N117SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N117UW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N118AA",NA,"Fixed wing single engine","NORTH AMERICAN","NAVION",1,5,126,"Reciprocating"
"N118SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N118US",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N119SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N119US",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N1200K",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1201P",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N120SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N12114",1995,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N12116",1996,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N12125",1998,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N121SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N121UW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N12216",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N12218",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N12221",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N12225",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N12238",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N122SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N122US",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N123UW",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N124AA",2014,"Fixed wing multi engine","AIRBUS","A321-231",2,379,NA,"Turbo-fan"
"N124SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N124US",2000,"Fixed wing multi engine","AIRBUS INDUSTRIE","A320-214",2,182,NA,"Turbo-fan"
"N125DL",1988,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N125SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N125UW",2009,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N126UW",2009,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N12754",NA,"Fixed wing multi engine","BOEING","737-700",2,149,NA,"Turbo-fan"
"N127DL",1988,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N127SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N127UW",2010,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N128SY",2014,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N128UW",2010,"Fixed wing multi engine","AIRBUS","A320-214",2,182,NA,"Turbo-fan"
"N129DL",1988,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N130SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N13110",1994,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N13113",1995,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N13138",1999,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N131SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N13227",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N13248",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N132SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N133SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N134SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N135SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N136DL",1991,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N136SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N13716",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N13718",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N13720",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N138DL",1991,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N138SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N139SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N1402A",1993,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N140LL",1993,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N140SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N14102",1994,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N14106",1994,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N14107",1994,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N14120",1997,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N14121",1997,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N141SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N14214",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N14219",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N14228",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N14230",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N14231",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N14235",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N14237",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N14240",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N14242",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N14249",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N14250",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N142SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N143DA",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N143SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N144DA",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N144SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N145SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N146SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N14704",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N14731",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N14735",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N148SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N149SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N150AA",1972,"Fixed wing single engine","GRUMMAN AMERICAN AVN. CORP","AA-1A",1,2,100,"Reciprocating"
"N150SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N150UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N151AA",2006,"Fixed wing single engine","TAGUE LARRY","PIONEER 200",1,2,NA,"Reciprocating"
"N151SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N151UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N152AA",2015,"Fixed wing multi engine","AIRBUS","A321-231",2,379,NA,"Turbo-fan"
"N152DL",1990,"Fixed wing multi engine","BOEING","767-3P6",2,290,NA,"Turbo-fan"
"N152SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N152UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N153AA",2007,"Fixed wing single engine","AVIAT AIRCRAFT INC","A-1B",1,2,NA,"Reciprocating"
"N153SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N153UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N154AA",2016,"Fixed wing multi engine","AIRBUS","A321-231",2,379,NA,"Turbo-fan"
"N154SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N154UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N155DL",1991,"Fixed wing multi engine","BOEING","767-3P6",2,290,NA,"Turbo-fan"
"N155UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N156AA",2007,"Fixed wing single engine","AVIAT AIRCRAFT INC","A-1B",1,2,NA,"Reciprocating"
"N156DL",1991,"Fixed wing multi engine","BOEING","767-3P6",2,290,NA,"Turbo-fan"
"N156SY",2016,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N156UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N15710",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N15751",1999,"Fixed wing multi engine","BOEING","737-71Q",2,149,NA,"Turbo-fan"
"N157AA",2016,"Fixed wing multi engine","AIRBUS","A321-231",2,379,NA,"Turbo-fan"
"N157SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N157UW",2013,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N1602",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1603",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1604R",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1605",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N16065",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1607B",2000,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1608",2000,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1609",2000,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N160SY",2016,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N1610D",2000,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1611B",2000,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1612T",2001,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N1613B",2001,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N161AA",2016,"Fixed wing multi engine","AIRBUS","A321-231",2,379,NA,"Turbo-fan"
"N161PQ",2008,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N161SY",2016,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N161UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N16217",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N16234",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N162AA",2016,"Fixed wing multi engine","AIRBUS","A321-231",2,379,NA,"Turbo-fan"
"N162PQ",2008,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N162SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N162UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N163AA",2016,"Fixed wing multi engine","AIRBUS","A321-231",2,379,NA,"Turbo-fan"
"N163SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N163US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N164SY",2016,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N165AA",1974,"Fixed wing multi engine","GATES LEAR JET","25B",2,10,388,"Turbo-jet"
"N165SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N165US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N166SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N16701",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N16703",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N16709",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N16713",1998,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N16732",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N167AA",1989,"Fixed wing multi engine","GULFSTREAM AEROSPACE","G-IV",2,22,NA,"Turbo-fan"
"N167SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N167US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N169DZ",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N169UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N170PQ",2008,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N170SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N170US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N17104",1994,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N17128",1998,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N17133",1998,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N17139",2000,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N171AA",2012,"Fixed wing multi engine","CESSNA","510",2,7,NA,"Turbo-fan"
"N171DN",1990,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N171DZ",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N171SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N171US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N17229",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N17233",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N17244",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N17245",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N172AA",1954,"Fixed wing single engine","CESSNA","180",1,4,121,"Reciprocating"
"N172DN",1990,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N172DZ",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N172US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N173AA",1980,"Fixed wing multi engine","CESSNA","550",2,8,NA,"Turbo-fan"
"N173DZ",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N173SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N173US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N174AA",2002,"Fixed wing multi engine","BOEING","757-223",2,178,NA,"Turbo-fan"
"N174DN",1990,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N174DZ",1998,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N174SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N174US",NA,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N175DN",1990,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N175DZ",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N175SY",2015,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N176AA",2002,"Fixed wing multi engine","BOEING","757-223",2,178,NA,"Turbo-fan"
"N176DN",1990,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N176DZ",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N176SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N176UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N17719",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N17730",1999,"Fixed wing multi engine","BOEING","737-724",2,149,NA,"Turbo-fan"
"N17752",1999,"Fixed wing multi engine","BOEING","737-71Q",2,149,NA,"Turbo-fan"
"N17753",NA,"Fixed wing multi engine","BOEING","737-7V3",2,149,NA,"Turbo-fan"
"N177DN",1991,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N177DZ",1999,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N177SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N177US",NA,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N178AA",2002,"Fixed wing multi engine","BOEING","757-223",2,178,NA,"Turbo-fan"
"N178DN",1991,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N178DZ",2000,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N178SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N178US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N179AA",2002,"Fixed wing multi engine","BOEING","757-223",2,178,NA,"Turbo-fan"
"N179DN",1991,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N179SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N179UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N180AA",1973,"Fixed wing single engine","CESSNA","180J",1,6,120,"Reciprocating"
"N180US",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N18119",1997,"Fixed wing multi engine","BOEING","757-224",2,178,NA,"Turbo-fan"
"N181AA",NA,"Rotorcraft","DJI","PHANTOM 3 PROFESSION",4,NA,NA,"Electric"
"N181SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N181UW",NA,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N18220",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N18223",1998,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N18243",1999,"Fixed wing multi engine","BOEING","737-824",2,149,NA,"Turbo-fan"
"N182AA",1979,"Rotorcraft","BELL","206B",1,5,112,"Turbo-shaft"
"N182DN",1992,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N182SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N182UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N183AA",1958,"Fixed wing multi engine","BEECH","95",2,5,150,"Reciprocating"
"N183DN",1993,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N183SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N183UW",2001,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N184DN",1993,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N184SY",2016,"Fixed wing multi engine","EMBRAER S A","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N184US",2002,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N185DN",1995,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N185SY",2016,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N185UW",2002,"Fixed wing multi engine","AIRBUS INDUSTRIE","A321-211",2,199,NA,"Turbo-jet"
"N186AA",1985,"Fixed wing single engine","ANGER ANTHONY B","POBER PIXIE",1,1,NA,"Reciprocating"
"N186DN",1995,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N186SY",2016,"Fixed wing multi engine","EMBRAER","ERJ 170-200 LR",2,88,NA,"Turbo-fan"
"N186US",2002,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
"N187AA",2001,"Fixed wing multi engine","DASSAULT AVIATION","FALCON 2000",2,14,NA,"Turbo-fan"
"N187DN",1996,"Fixed wing multi engine","BOEING","767-332",2,330,NA,"Turbo-fan"
"N187PQ",2008,"Fixed wing multi engine","BOMBARDIER INC","CL-600-2D24",2,95,NA,"Turbo-fan"
"N187US",2002,"Fixed wing multi engine","AIRBUS","A321-211",2,199,NA,"Turbo-fan"
